Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
EKCH,LTBA,89,2025-09,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,ISL,Ataturk International Airport,Istanbul,Istanbul,TR,163,40.9768981934,28.8145999908,Europe/Istanbul
EKCH,LBBG,255,2025-09,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
LOWW,LTBA,135,2025-09,VIE,Vienna International Airport,Vienna,Lower-Austria,AT,600,48.1102981567,16.5697002411,Europe/Vienna,ISL,Ataturk International Airport,Istanbul,Istanbul,TR,163,40.9768981934,28.8145999908,Europe/Istanbul
EDDL,LTBA,195,2025-09,DUS,Dusseldorf International Airport,Dusseldorf,North-Rhine-Westphalia,DE,147,51.2895011902,6.7667798996,Europe/Berlin,ISL,Ataturk International Airport,Istanbul,Istanbul,TR,163,40.9768981934,28.8145999908,Europe/Istanbul
KDEN,LBBG,24,2025-09,DEN,Denver International Airport,Denver,Colorado,US,5431,39.8616981506,-104.672996521,America/Denver,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
KDEN,LTBA,2,2025-09,DEN,Denver International Airport,Denver,Colorado,US,5431,39.8616981506,-104.672996521,America/Denver,ISL,Ataturk International Airport,Istanbul,Istanbul,TR,163,40.9768981934,28.8145999908,Europe/Istanbul
LTFM,WSSS,62,2025-09,IST,Istanbul Airport,Arnavutkoy,Istanbul,TR,325,41.262222,28.727778,Europe/Istanbul,SIN,Singapore Changi International Airport,Singapore,North-East,SG,22,1.3501900434,103.9940032959,Asia/Singapore
KDEN,LTFM,15,2025-09,DEN,Denver International Airport,Denver,Colorado,US,5431,39.8616981506,-104.672996521,America/Denver,IST,Istanbul Airport,Arnavutkoy,Istanbul,TR,325,41.262222,28.727778,Europe/Istanbul
KBOS,LBBG,44,2025-09,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
KBOS,LTFM,25,2025-09,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,IST,Istanbul Airport,Arnavutkoy,Istanbul,TR,325,41.262222,28.727778,Europe/Istanbul
KJFK,LBBG,172,2025-09,JFK,John F Kennedy International Airport,New York,New York,US,13,40.63980103,-73.77890015,America/New_York,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
